#Procedure: <V_sweep.V_sweep_Procedure>
#Parameters:
#	Nanowire Name: 8
#	Amplification: 1e-06 A / V
#	Contact 1: 1
#	Contact 2: 4
#	Data points: 50
#	Maximum Voltage: 0.5 V
#	Minimum Voltage: -0.5 V
#	Sample Name: C22
#Data:
Current (A),Voltage (V)
-4.337920595454545e-09, -0.5
-4.811067455454545e-09, -0.47959183673469385
-4.7314725954545445e-09, -0.45918367346938777
-3.9001479254545454e-09, -0.4387755102040816
-3.833818875454545e-09, -0.41836734693877553
-3.4137363854545454e-09, -0.3979591836734694
-3.2633853954545454e-09, -0.37755102040816324
-2.856567585454545e-09, -0.35714285714285715
-2.445327845454545e-09, -0.33673469387755106
-2.202120385454545e-09, -0.3163265306122449
-1.8439449254545455e-09, -0.29591836734693877
-1.7378182754545454e-09, -0.2755102040816327
-1.5078775554545454e-09, -0.25510204081632654
-1.2248757654545455e-09, -0.23469387755102045
-1.0479996654545454e-09, -0.2142857142857143
-9.374529354545455e-10, -0.1938775510204082
-9.153422854545455e-10, -0.17346938775510207
-7.075092754545456e-10, -0.15306122448979592
-4.996766424545454e-10, -0.13265306122448983
-4.731451764545455e-10, -0.11224489795918369
-2.962688314545455e-10, -0.0918367346938776
-1.8129919845454552e-10, -0.07142857142857145
-1.8129933245454545e-10, -0.05102040816326536
-9.728303145454546e-11, -0.030612244897959218
-7.959462445454548e-11, -0.010204081632653073
-3.979647645454553e-11, 0.010204081632653073
-1.3265538454545459e-11, 0.030612244897959107
2.653181854545449e-11, 0.05102040816326525
2.741594475454545e-10, 0.0714285714285714
2.653150685454545e-10, 0.09183673469387754
3.2280069854545447e-10, 0.11224489795918358
3.006913095454545e-10, 0.13265306122448972
6.898220285454545e-10, 0.15306122448979587
7.296193505454545e-10, 0.173469387755102
8.224803925454545e-10, 0.19387755102040816
8.932309785454544e-10, 0.2142857142857142
1.1673910805454544e-09, 0.23469387755102034
1.2735175295454547e-09, 0.2551020408163265
1.4061756455454544e-09, 0.2755102040816326
1.6538045645454543e-09, 0.29591836734693866
1.910277374545454e-09, 0.3163265306122448
2.0340917445454545e-09, 0.33673469387755095
1.8925896345454544e-09, 0.3571428571428571
2.4630197345454545e-09, 0.37755102040816324
2.7371792545454543e-09, 0.3979591836734693
2.891947184545454e-09, 0.4183673469387754
2.9848078345454545e-09, 0.43877551020408156
3.3872067645454546e-09, 0.4591836734693877
3.6215691445454545e-09, 0.47959183673469385
4.178734894545455e-09, 0.5
